card_variant_id,card_variants_card_id,card_canonical_code,card_card_code,card_name,card_rarity,card_source,candidate_market_product_pk,candidate_market_product_external_id,candidate_product_name,candidate_clean_name,candidate_ext_number,candidate_rarity,candidate_subtype,candidate_source_name,match_confidence,match_score,match_reasons,needs_manual_review,derived_number_key,derived_set_key,pool_size,scored_candidates,cv_variant_key,cv_variant_label,cv_source,cv_print_id,cv_image_path,cv_image_url,cv_release_set_code,cv_is_base,cv_official_provenance
2313,702,OP04-092,,Rebecca,R,,2336,516803,Rebecca (092),Rebecca 092,OP04-092,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,OP04-092,OP04,5,5,parallel_1,Parallel 1,official-cardlist,OP04-092_p1,TK2025V2/parallel/OP04-092_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-092_p1.png?260305,OP04,0,Tournament Kit 2025 Vol.2
2314,702,OP04-092,,Rebecca,R,,2336,516803,Rebecca (092),Rebecca 092,OP04-092,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,OP04-092,OP04,5,5,parallel_2,Parallel 2,official-cardlist,OP04-092_p2,_unclassified/parallel/OP04-092_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-092_p2.png?260305,OP04,0,Winner Pack 2025 Vol.2
2315,702,OP04-092,,Rebecca,R,,2336,516803,Rebecca (092),Rebecca 092,OP04-092,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,OP04-092,OP04,5,5,parallel_3,Parallel 3,official-cardlist,OP04-092_p3,CS2526CP/parallel/OP04-092_p3.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-092_p3.png?260305,OP04,0,CS 25-26 Celebration Pack
2316,702,OP04-092,,Rebecca,R,,2336,516803,Rebecca (092),Rebecca 092,OP04-092,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP04-092,OP04,5,5,tr,T R,local-catalog,OP04-092::t r,thumbs/OP04-092TR.webp,,OP04,0,
2323,705,OP04-095,,Barrier!!,C,,2339,516806,Barrier!!,Barrier,OP04-095,C,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP04-095,OP04,4,4,alt,Alt,local-catalog,OP04-095::alt,thumbs/OP04-095alt.webp,,OP04,0,
2362,715,OP04-105,,Charlotte Amande,R,,2347,516814,Charlotte Amande,Charlotte Amande,OP04-105,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP04-105,OP04,2,2,alt,Alt,local-catalog,OP04-105::alt,thumbs/OP04-105alt.webp,,OP04,0,
2363,715,OP04-105,,Charlotte Amande,R,,2347,516814,Charlotte Amande,Charlotte Amande,OP04-105,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,OP04-105,OP04,2,2,parallel_1,Parallel 1,official-cardlist,OP04-105_p1,BCV1/parallel/OP04-105_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-105_p1.png?260305,OP04,0,Premium Card Collection -Best Selection-
2402,729,OP04-119,,Donquixote Rosinante,SP CARD,,3584,596912,Donquixote Rosinante (SP),Donquixote Rosinante SP,OP04-119,SEC,,tcgcsv,high,89,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,OP04-119,OP09,3,3,parallel_2,Parallel 2,official-cardlist,OP04-119_p2,OP09/parallel/OP04-119_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-119_p2.png?260305,OP09,0,-EMPERORS IN THE NEW WORLD- [OP-09]
2408,730,OP05-001,,Sabo,L,,3989,629168,Sabo (SP),Sabo SP,OP05-001,L,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,OP05-001,EB02,3,3,parallel_2,Parallel 2,official-cardlist,OP05-001_p2,EB02/parallel/OP05-001_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP05-001_p2.png?260305,EB02,0,-Anime 25th Collection- [EB-02]
2413,731,OP05-002,,Belo Betty,L,,3990,629169,Belo Betty (SP),Belo Betty SP,OP05-002,L,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,OP05-002,EB02,3,3,parallel_2,Parallel 2,official-cardlist,OP05-002_p2,EB02/parallel/OP05-002_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP05-002_p2.png?260305,EB02,0,-Anime 25th Collection- [EB-02]
2418,733,OP05-004,,Emporio.Ivankov,UC,,2424,528533,Emporio.Ivankov,EmporioIvankov,OP05-004,UC,,tcgcsv,high,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP05-004,OP05,5,5,alt,Alt,local-catalog,OP05-004::alt,thumbs/OP05-004(alt).webp,,OP05,0,
