card_variant_id,candidate_market_product_pk,has_price_via_overlay,notes,mpr_market_price,mpr_mid_price,mpr_low_price,mpr_high_price,mpr_direct_low_price,mpr_listed_median_price,captured_at,subtype_name,source_name,mpr_row_id
4228,3654,1,at_least_one_price_column_non_null,10.62,13.44,7.99,100.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3481
4237,4220,1,at_least_one_price_column_non_null,0.09,0.15,0.02,1.3,,,2026-04-02 03:06:20,Normal,tcgcsv,4047
4243,4221,1,at_least_one_price_column_non_null,0.08,0.1,0.02,1.3,,,2026-04-02 03:06:20,Normal,tcgcsv,4048
4246,4222,1,at_least_one_price_column_non_null,0.04,0.1,0.01,1.29,,,2026-04-02 03:06:20,Normal,tcgcsv,4049
4249,4223,1,at_least_one_price_column_non_null,0.06,0.1,0.01,1.0,,,2026-04-02 03:06:20,Normal,tcgcsv,4050
4253,3663,1,at_least_one_price_column_non_null,0.09,0.19,0.01,5.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3490
4254,4224,1,at_least_one_price_column_non_null,0.1,0.14,0.02,1.3,,,2026-04-02 03:06:20,Normal,tcgcsv,4051
4259,3664,1,at_least_one_price_column_non_null,0.14,0.2,0.01,5.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3491
4260,4225,1,at_least_one_price_column_non_null,0.11,0.15,0.01,1.29,,,2026-04-02 03:06:20,Normal,tcgcsv,4052
4271,3669,1,at_least_one_price_column_non_null,97.36,109.98,93.7,450.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3496
4277,3671,1,at_least_one_price_column_non_null,77.77,86.96,78.49,699.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3498
4280,4241,1,at_least_one_price_column_non_null,0.07,0.1,0.01,1.29,,,2026-04-02 03:06:20,Normal,tcgcsv,4068
4286,3675,1,at_least_one_price_column_non_null,9.22,13.0,6.5,49.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3502
4287,3675,1,at_least_one_price_column_non_null,9.22,13.0,6.5,49.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3502
4288,4873,1,at_least_one_price_column_non_null,0.31,0.5,0.18,5.0,,,2026-04-02 03:06:21,Foil,tcgcsv,4729
4299,3680,1,at_least_one_price_column_non_null,16.65,21.72,15.87,100.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3507
4300,3680,1,at_least_one_price_column_non_null,16.65,21.72,15.87,100.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3507
4301,4876,1,at_least_one_price_column_non_null,0.49,0.5,0.25,3.08,,,2026-04-02 03:06:21,Foil,tcgcsv,4732
4304,3681,1,at_least_one_price_column_non_null,0.14,0.16,0.01,20.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3508
4305,4242,1,at_least_one_price_column_non_null,0.13,0.15,0.03,1.32,,,2026-04-02 03:06:20,Normal,tcgcsv,4069
4311,3684,1,at_least_one_price_column_non_null,6.65,9.0,5.25,34.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3511
4312,4879,1,at_least_one_price_column_non_null,0.27,0.32,0.1,10.0,,,2026-04-02 03:06:21,Foil,tcgcsv,4735
4321,3688,1,at_least_one_price_column_non_null,0.2,0.24,0.02,5.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3515
4323,3688,1,at_least_one_price_column_non_null,0.2,0.24,0.02,5.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3515
4324,4243,1,at_least_one_price_column_non_null,0.13,0.15,0.03,1.98,,,2026-04-02 03:06:20,Normal,tcgcsv,4070
4329,3689,1,at_least_one_price_column_non_null,0.1,0.15,0.01,5.07,,,2026-04-02 03:06:19,Normal,tcgcsv,3516
4330,4244,1,at_least_one_price_column_non_null,0.07,0.12,0.02,1.86,,,2026-04-02 03:06:20,Normal,tcgcsv,4071
4334,4245,1,at_least_one_price_column_non_null,0.31,0.3,0.14,1.52,,,2026-04-02 03:06:20,Normal,tcgcsv,4072
4336,3690,1,at_least_one_price_column_non_null,0.77,0.99,0.25,7.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3517
4347,3694,1,at_least_one_price_column_non_null,27.34,37.0,27.91,299.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3521
4354,4255,1,at_least_one_price_column_non_null,0.11,0.15,0.02,4.99,,,2026-04-02 03:06:20,Normal,tcgcsv,4082
4364,3699,1,at_least_one_price_column_non_null,0.12,0.2,0.01,5.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3526
4365,4256,1,at_least_one_price_column_non_null,0.1,0.18,0.03,4.99,,,2026-04-02 03:06:20,Normal,tcgcsv,4083
4371,4257,1,at_least_one_price_column_non_null,0.1,0.15,0.01,4.99,,,2026-04-02 03:06:20,Normal,tcgcsv,4084
4374,3702,1,at_least_one_price_column_non_null,0.1,0.2,0.01,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3529
4375,3702,1,at_least_one_price_column_non_null,0.1,0.2,0.01,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3529
4376,3702,1,at_least_one_price_column_non_null,0.1,0.2,0.01,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3529
4377,4258,1,at_least_one_price_column_non_null,0.1,0.15,0.02,4.99,,,2026-04-02 03:06:20,Normal,tcgcsv,4085
4380,4259,1,at_least_one_price_column_non_null,0.11,0.12,0.02,4.99,,,2026-04-02 03:06:20,Normal,tcgcsv,4086
