card_variant_id,card_canonical_code,card_name,candidate_market_product_pk,candidate_market_product_external_id,match_score,match_reasons,match_confidence,needs_manual_review,cv_variant_key,cv_variant_label,cv_print_id,cv_image_path
3998,OP08-106,Nami,3102,558146,93,market_number_eq_canonical_or_extracted;set_code_match;card_name_substring_product;source_tcgcsv,low,1,sp,S Palt,OP08-106::s palt,thumbs/OP08-106SPalt.webp
4007,OP08-110,Wyper,3106,558150,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP08-110::alt,thumbs/OP08-110alt.webp
4008,OP08-110,Wyper,3106,558150,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt Art 2,OP08-110::alt art 2,thumbs/OP08-110alt2.webp
4017,OP08-112,S-Snake,3109,558153,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP08-112::alt,thumbs/OP08-112alt.webp
4031,OP08-118,Silvers Rayleigh,3116,558160,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP08-118::alt,thumbs/OP08-118alt.webp
4032,OP08-118,Silvers Rayleigh,3116,558160,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,mr,M Anga Alt,OP08-118::m anga alt,thumbs/OP08-118Manga alt.webp
4033,OP08-118,Silvers Rayleigh,3117,558161,131,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_token_in_market_fields;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,OP08-118_p1,OP08/parallel/OP08-118_p1.png
4034,OP08-118,Silvers Rayleigh,3117,558161,131,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_token_in_market_fields;card_name_substring_product;source_tcgcsv,low,1,parallel_2,Parallel 2,OP08-118_p2,OP08/parallel/OP08-118_p2.png
4038,OP08-119,Kaido & Linlin,3119,558163,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP08-119::alt,thumbs/OP08-119alt.webp
4042,OP09-001,Shanks,3591,596919,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP09-001::alt,thumbs/OP09-001alt.webp
