provenance_folder,card_code,source_url,derived_full_local_path,refresh_status,bytes_written,failure_reason,source_lane,was_protected_skip
ORP01,ST07-008,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-008.png,D:\Miru_Assets\ORP01\parallel\ST07-008_p1.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=parallel. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST07,ST07-009,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-009.png,D:\Miru_Assets\ST07\base\ST07-009.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST07,ST07-010,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-010.png,D:\Miru_Assets\ST07\base\ST07-010.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST07,ST07-010,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-010.png,D:\Miru_Assets\ST07\alt\ST07-010_alt.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=alt. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST07,ST07-011,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-011.png,D:\Miru_Assets\ST07\base\ST07-011.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST07,ST07-012,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-012.png,D:\Miru_Assets\ST07\base\ST07-012.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST07,ST07-013,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-013.png,D:\Miru_Assets\ST07\base\ST07-013.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST07,ST07-014,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-014.png,D:\Miru_Assets\ST07\base\ST07-014.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST20,ST07-014,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-014.png,D:\Miru_Assets\ST20\reprint\ST07-014_r1.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=reprint. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST07,ST07-015,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-015.png,D:\Miru_Assets\ST07\base\ST07-015.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST07,ST07-016,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-016.png,D:\Miru_Assets\ST07\base\ST07-016.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST07,ST07-017,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-017.png,D:\Miru_Assets\ST07\base\ST07-017.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST08,ST08-001,https://en.onepiece-cardgame.com/images/cardlist/card/ST08-001.png,D:\Miru_Assets\ST08\base\ST08-001.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST08,ST08-002,https://en.onepiece-cardgame.com/images/cardlist/card/ST08-002.png,D:\Miru_Assets\ST08\base\ST08-002.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST08,ST08-002,https://en.onepiece-cardgame.com/images/cardlist/card/ST08-002.png,D:\Miru_Assets\ST08\alt\ST08-002_alt.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=alt. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST08,ST08-003,https://en.onepiece-cardgame.com/images/cardlist/card/ST08-003.png,D:\Miru_Assets\ST08\base\ST08-003.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST08,ST08-004,https://en.onepiece-cardgame.com/images/cardlist/card/ST08-004.png,D:\Miru_Assets\ST08\base\ST08-004.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST08,ST08-005,https://en.onepiece-cardgame.com/images/cardlist/card/ST08-005.png,D:\Miru_Assets\ST08\base\ST08-005.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST08,ST08-006,https://en.onepiece-cardgame.com/images/cardlist/card/ST08-006.png,D:\Miru_Assets\ST08\base\ST08-006.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST08,ST08-007,https://en.onepiece-cardgame.com/images/cardlist/card/ST08-007.png,D:\Miru_Assets\ST08\base\ST08-007.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST08,ST08-008,https://en.onepiece-cardgame.com/images/cardlist/card/ST08-008.png,D:\Miru_Assets\ST08\base\ST08-008.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST08,ST08-009,https://en.onepiece-cardgame.com/images/cardlist/card/ST08-009.png,D:\Miru_Assets\ST08\base\ST08-009.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST08,ST08-010,https://en.onepiece-cardgame.com/images/cardlist/card/ST08-010.png,D:\Miru_Assets\ST08\base\ST08-010.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST08,ST08-011,https://en.onepiece-cardgame.com/images/cardlist/card/ST08-011.png,D:\Miru_Assets\ST08\base\ST08-011.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST08,ST08-012,https://en.onepiece-cardgame.com/images/cardlist/card/ST08-012.png,D:\Miru_Assets\ST08\base\ST08-012.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
