printing_id,card_code,variant_key,current_path,refreshed_path,old_byte_size,new_byte_size,old_dimensions,new_dimensions,refresh_status,source_used,notes
1050,OP01-078::s p,sp,OP04\ALTS\OP01-078SP.png,,9239696,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (9239696b) via alts_highres
1045,OP01-078_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1046,OP01-078_p2,parallel_2,OP04\parallel\OP01-078_p2.png,OP04/parallel/OP01-078_p2.png,179235,179235,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
1047,OP01-078_p4,parallel_4,PRB01\parallel\OP01-078_p4.png,PRB01/parallel/OP01-078_p4.png,188687,188687,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
1049,OP01-078_r1,r1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1053,OP01-079::alt,alt,OP01\ALTS\OP01-079(alt).jpg,,521649,0,1466x2048,,SKIPPED_BORDERLINE,,BORDERLINE at 1466x2048 via alts_highres. No better source available.
1068,OP01-086_r1,r1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1079,OP01-091::alt,alt,OP01\ALTS\OP01-091 (alt).png,,9654158,0,3357x4692,,SKIPPED_GOOD_ENOUGH,,Already 3357x4692 (9654158b) via alts_highres
1080,OP01-091_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1085,OP01-093::alt,alt,OP01\ALTS\OP01-093 (alt).jpg,,737385,0,1465x2048,,SKIPPED_BORDERLINE,,BORDERLINE at 1465x2048 via alts_highres. No better source available.
1086,OP01-093::alt art 2,alt,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1087,OP01-093_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1090,OP01-094::alt,alt,OP01\ALTS\OP01-094 (alt).png,,11923595,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (11923595b) via alts_highres
1091,OP01-094::alt art 2,alt,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1092,OP01-094_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1097,OP01-096::alt,alt,OP01\ALTS\OP01-096 (Alt).jpg,,5154957,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (5154957b) via alts_highres
1098,OP01-096_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1101,OP01-097_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
