canonical_code,card_name,rarity,variant_key,variant_label,is_base,tcgplayer_product_id,tcgplayer_market_price
EB02-059,Without Your Help I Can't Become the King of the Pirates!!!!,C,base,Base,1,,
EB02-060,Merry Go,C,base,Base,1,,
EB02-061,Monkey.D.Luffy,SEC,alt,Alt,0,,
EB02-061,Monkey.D.Luffy,SEC,alt,Prb02,0,,
EB02-061,Monkey.D.Luffy,SEC,base,Base,1,,
EB02-061,Monkey.D.Luffy,SEC,mr,Manga,0,,
EB02-061,Monkey.D.Luffy,SEC,parallel_1,Parallel 1,0,,
EB02-061,Monkey.D.Luffy,SEC,parallel_2,Parallel 2,0,,
EB02-061,Monkey.D.Luffy,SEC,parallel_3,Parallel 3,0,,
EB02-061,Monkey.D.Luffy,SEC,r1,R1,0,,
EB03-001,Nefeltari Vivi,L,alt,Alt,0,,
EB03-001,Nefeltari Vivi,L,base,Base,1,,
EB03-001,Nefeltari Vivi,L,parallel_1,Parallel 1,0,,
EB03-002,Ain,C,base,Base,1,,
EB03-003,Uta,SR,alt,Alt,0,,
EB03-003,Uta,SR,base,Base,1,,
EB03-003,Uta,SR,parallel_1,Parallel 1,0,,
EB03-003,Uta,SR,parallel_2,Parallel 2,0,,
EB03-003,Uta,SR,sp,SP,0,,
EB03-004,Carina,C,base,Base,1,,
EB03-005,Sugar,R,base,Base,1,,
EB03-006,Nami,R,base,Base,1,,
EB03-007,Baccarat,C,base,Base,1,,
EB03-008,Hibari,R,alt,Alt,0,,
EB03-008,Hibari,R,base,Base,1,,
EB03-008,Hibari,R,parallel_1,Parallel 1,0,,
EB03-009,Makino,C,base,Base,1,,
EB03-010,Monet,R,base,Base,1,,
EB03-011,But If We Ever See Each Other Again... Will You Call Me Your Shipmate?!!,C,base,Base,1,,
EB03-012,Otama,R,base,Base,1,,
EB03-013,Carrot,R,alt,Alt,0,,
EB03-013,Carrot,R,base,Base,1,,
EB03-013,Carrot,R,parallel_1,Parallel 1,0,,
EB03-014,Kuina,C,base,Base,1,,
EB03-015,Camie,C,base,Base,1,,
EB03-016,Kouzuki Hiyori,C,base,Base,1,,
EB03-017,Jewelry Bonney,R,base,Base,1,,
EB03-018,Tashigi,SR,alt,Alt,0,,
EB03-018,Tashigi,SR,base,Base,1,,
EB03-018,Tashigi,SR,parallel_1,Parallel 1,0,,
EB03-018,Tashigi,SR,parallel_2,Parallel 2,0,,
EB03-018,Tashigi,SR,sp,SP,0,,
EB03-019,Wanda,C,base,Base,1,,
EB03-020,"There You Are, Sore Loser!",C,base,Base,1,,
EB03-021,Alvida,C,base,Base,1,,
EB03-022,Isuka,R,base,Base,1,,
EB03-023,Kaya,C,base,Base,1,,
EB03-024,Nefeltari Vivi,SR,alt,Alt,0,,
EB03-024,Nefeltari Vivi,SR,base,Base,1,,
EB03-024,Nefeltari Vivi,SR,parallel_1,Parallel 1,0,,
EB03-024,Nefeltari Vivi,SR,parallel_2,Parallel 2,0,,
EB03-024,Nefeltari Vivi,SR,sp,SP,0,,
EB03-025,Hina,R,alt,Alt,0,,
EB03-025,Hina,R,base,Base,1,,
EB03-025,Hina,R,parallel_1,Parallel 1,0,,
EB03-026,Boa Hancock,SR,alt,Alt,0,,
EB03-026,Boa Hancock,SR,base,Base,1,,
EB03-026,Boa Hancock,SR,parallel_1,Parallel 1,0,,
EB03-026,Boa Hancock,SR,parallel_2,Parallel 2,0,,
EB03-026,Boa Hancock,SR,sp,SP,0,,
EB03-027,Marguerite,R,base,Base,1,,
EB03-028,Yu,C,base,Base,1,,
EB03-029,Insolent Fool!! Stand Down!!,C,base,Base,1,,
EB03-030,Viola,C,base,Base,1,,
EB03-031,Vinsmoke Reiju,SR,alt,Alt,0,,
EB03-031,Vinsmoke Reiju,SR,base,Base,1,,
EB03-031,Vinsmoke Reiju,SR,parallel_1,Parallel 1,0,,
EB03-031,Vinsmoke Reiju,SR,parallel_2,Parallel 2,0,,
EB03-031,Vinsmoke Reiju,SR,sp,SP,0,,
EB03-032,Charlotte Flampe,C,base,Base,1,,
EB03-033,Charlotte Brulee,C,base,Base,1,,
EB03-034,Charlotte Linlin,R,alt,Alt,0,,
EB03-034,Charlotte Linlin,R,base,Base,1,,
EB03-034,Charlotte Linlin,R,parallel_1,Parallel 1,0,,
EB03-035,Charlotte Pudding,R,base,Base,1,,
EB03-036,Baby 5,C,base,Base,1,,
EB03-037,Lim,R,base,Base,1,,
EB03-038,Thanks for the Treat. ♡,C,base,Base,1,,
EB03-039,Ulti,R,base,Base,1,,
EB03-040,Kalifa,C,base,Base,1,,
EB03-041,Kujyaku,R,alt,Alt,0,,
EB03-041,Kujyaku,R,base,Base,1,,
EB03-041,Kujyaku,R,parallel_1,Parallel 1,0,,
EB03-042,Koala,SR,alt,Alt,0,,
EB03-042,Koala,SR,base,Base,1,,
EB03-042,Koala,SR,parallel_1,Parallel 1,0,,
EB03-042,Koala,SR,parallel_2,Parallel 2,0,,
EB03-042,Koala,SR,sp,SP,0,,
EB03-043,Stussy,R,base,Base,1,,
EB03-044,Black Maria,C,base,Base,1,,
EB03-045,Perona,SR,alt,Alt,0,,
EB03-045,Perona,SR,base,Base,1,,
EB03-045,Perona,SR,parallel_1,Parallel 1,0,,
EB03-045,Perona,SR,parallel_2,Parallel 2,0,,
EB03-045,Perona,SR,sp,SP,0,,
EB03-046,Miss Doublefinger(Zala),C,base,Base,1,,
EB03-047,Miss.Valentine(Mikita),C,base,Base,1,,
EB03-048,Rebecca,R,base,Base,1,,
EB03-049,I Knew You People Were Behind This.,C,base,Base,1,,
EB03-050,Conis,C,base,Base,1,,
EB03-051,Charlotte Smoothie,C,base,Base,1,,
EB03-052,Shirahoshi,R,base,Base,1,,
EB03-053,Nami,SR,alt,Alt,0,,
EB03-053,Nami,SR,base,Base,1,,
EB03-053,Nami,SR,parallel_1,Parallel 1,0,,
EB03-053,Nami,SR,parallel_2,Parallel 2,0,,
EB03-053,Nami,SR,sp,SP,0,,
EB03-054,Nico Robin,C,base,Base,1,,
EB03-055,Nico Robin,SR,alt,Alt,0,,
EB03-055,Nico Robin,SR,base,Base,1,,
EB03-055,Nico Robin,SR,parallel_1,Parallel 1,0,,
EB03-055,Nico Robin,SR,parallel_2,Parallel 2,0,,
EB03-055,Nico Robin,SR,sp,SP,0,,
EB03-056,Belo Betty,C,base,Base,1,,
EB03-057,Yamato,R,alt,Alt,0,,
EB03-057,Yamato,R,base,Base,1,,
EB03-057,Yamato,R,parallel_1,Parallel 1,0,,
EB03-058,Lilith,R,base,Base,1,,
EB03-059,S-Snake,R,base,Base,1,,
EB03-060,Will You Be My Servant?,C,base,Base,1,,
EB03-061,Uta,SEC,alt,Alt,0,,
EB03-061,Uta,SEC,base,Base,1,,
EB03-061,Uta,SEC,mr,Manga,0,,
EB03-061,Uta,SEC,parallel_1,Parallel 1,0,,
EB03-061,Uta,SEC,parallel_2,Parallel 2,0,,
EB03-062,Trafalgar Law,SEC,alt,Alt,0,,
EB03-062,Trafalgar Law,SEC,base,Base,1,,
EB03-062,Trafalgar Law,SEC,parallel_1,Parallel 1,0,,
EB04-001,Jewelry Bonney,L,alt,Alt,0,,
EB04-002,Jewelry Bonney,R,alt,Alt,0,,
EB04-003,Smoker & Tashigi,R,sp,SP,0,,
EB04-007,Roronoa Zoro,SR,alt,Alt,0,,
EB04-011,Scaled Neptunian,C,base,Base,1,,
