id,printing_id,market_product_id,mapping_confidence,mapping_method,mapping_notes,is_preferred,created_at,updated_at
340,6815,638,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
341,6828,639,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
342,6841,640,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
343,6850,641,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
344,6855,642,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
345,6859,643,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
346,6861,644,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
347,6993,648,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
348,6995,649,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
349,6999,650,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
350,7011,651,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
351,7013,652,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
352,7021,653,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
353,7023,654,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
354,7025,655,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
355,7030,656,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
356,7032,657,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
357,7036,658,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
358,7043,659,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
359,7045,660,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
360,7047,661,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
361,7049,662,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
362,7051,663,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
363,7058,664,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
364,6863,667,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:17,
365,6866,668,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:17,
366,6868,669,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:17,
367,6870,670,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:17,
368,6878,671,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:17,
369,6880,672,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:17,
370,6882,673,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:17,
371,6890,674,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:17,
372,6894,675,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:17,
373,6896,676,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:17,
374,6899,677,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:17,
375,6901,678,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:17,
