id,card_id,variant_key,variant_label,print_id,release_set_code,release_set_name,image_path,image_url,source,is_base,is_alt,is_sp,has_variant_evidence,is_tr,is_manga_rare,is_golden_manga_rare,is_promo,is_serialized,is_illustration_rare,official_provenance,distribution_product_key,updated_at,tcgplayer_product_id,tcgplayer_market_price,tcgplayer_mid_price,tcgplayer_low_price,tcgplayer_price_updated_at
91,23,parallel_2,Parallel 2,EB01-023_p2,EB01,Seven Warlords of the Sea Binder Set,SWBS01/parallel/EB01-023_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-023_p2.png?260305,official-cardlist,0,0,1,1,0,0,0,0,0,0,Seven Warlords of the Sea Binder Set,SWBS01,2026-03-31T04:04:03Z,,,,,
92,23,sp,SP,EB01-023::sp,EB01,Memorial Collection,thumbs/EB01-023(SP).webp,,local-catalog,0,0,1,1,0,0,0,0,0,0,,,,,,,,
93,24,base,Base,EB01-024,EB01,Memorial Collection,EB01/base/EB01-024.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-024.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
95,25,base,Base,EB01-025,EB01,Memorial Collection,EB01/base/EB01-025.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-025.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
97,26,base,Base,EB01-026,EB01,Memorial Collection,EB01/base/EB01-026.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-026.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
99,27,base,Base,EB01-027,EB01,Memorial Collection,EB01/base/EB01-027.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-027.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
101,27,alt,Alt,EB01-027::alt,EB01,Memorial Collection,thumbs/EB01-027alt.webp,,local-catalog,0,1,0,1,0,0,0,0,0,0,,,,,,,,
102,27,parallel_1,Parallel 1,EB01-027_p1,EB01,Memorial Collection,EB01/parallel/EB01-027_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-027_p1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-Memorial Collection- [EB-01],EB01,2026-03-31T04:04:29Z,,,,,
103,28,base,Base,EB01-028,EB01,Memorial Collection,EB01/base/EB01-028.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-028.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
105,29,base,Base,EB01-029,EB01,Memorial Collection,EB01/base/EB01-029.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-029.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
107,30,base,Base,EB01-030,EB01,Memorial Collection,EB01/base/EB01-030.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-030.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
109,31,base,Base,EB01-031,EB01,Memorial Collection,EB01/base/EB01-031.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-031.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
111,31,alt,Alt,EB01-031::alt,EB01,Memorial Collection,thumbs/EB01-031alt.webp,,local-catalog,0,1,0,1,0,0,0,0,0,0,,,,,,,,
112,31,parallel_1,Parallel 1,EB01-031_p1,EB01,Memorial Collection,EB01/parallel/EB01-031_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-031_p1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-Memorial Collection- [EB-01],EB01,2026-03-31T04:04:53Z,,,,,
113,32,base,Base,EB01-032,EB01,Memorial Collection,EB01/base/EB01-032.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-032.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
115,33,base,Base,EB01-033,EB01,Memorial Collection,EB01/base/EB01-033.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-033.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
117,34,base,Base,EB01-034,EB01,Memorial Collection,EB01/base/EB01-034.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-034.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
119,34,alt,Alt,EB01-034::alt,EB01,Memorial Collection,thumbs/EB01-034alt.webp,,local-catalog,0,1,0,1,0,0,0,0,0,0,,,,,,,,
120,34,parallel_1,Parallel 1,EB01-034_p1,EB01,Memorial Collection,EB01/parallel/EB01-034_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-034_p1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-Memorial Collection- [EB-01],EB01,2026-03-31T04:05:12Z,,,,,
121,35,base,Base,EB01-035,EB01,Memorial Collection,EB01/base/EB01-035.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-035.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
123,36,base,Base,EB01-036,EB01,Memorial Collection,EB01/base/EB01-036.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-036.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
