id,source_name,market_product_id,market_group_id,market_category_id,product_name,clean_product_name,market_variant_label,market_set_name,market_set_code,market_number,rarity_market,subtype_support,active,url,image_url,raw_payload_json,created_at,updated_at
357,tcgcsv,454551,3188,68,Kouzuki Oden,Kouzuki Oden,,,OP01,OP01-031,L,0,1,https://www.tcgplayer.com/product/454551/one-piece-card-game-romance-dawn-kouzuki-oden,,,2026-04-01 22:09:08,2026-04-01 22:09:08
358,tcgcsv,454552,3188,68,Kouzuki Oden (Parallel),Kouzuki Oden Parallel,Parallel,,OP01,OP01-031,L,0,1,https://www.tcgplayer.com/product/454552/one-piece-card-game-romance-dawn-kouzuki-oden-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
359,tcgcsv,454553,3188,68,Ashura Doji,Ashura Doji,,,OP01,OP01-032,UC,0,1,https://www.tcgplayer.com/product/454553/one-piece-card-game-romance-dawn-ashura-doji,,,2026-04-01 22:09:08,2026-04-01 22:09:08
360,tcgcsv,454554,3188,68,Izo,Izo,,,OP01,OP01-033,UC,0,1,https://www.tcgplayer.com/product/454554/one-piece-card-game-romance-dawn-izo,,,2026-04-01 22:09:08,2026-04-01 22:09:08
361,tcgcsv,454555,3188,68,Inuarashi,Inuarashi,,,OP01,OP01-034,C,0,1,https://www.tcgplayer.com/product/454555/one-piece-card-game-romance-dawn-inuarashi,,,2026-04-01 22:09:08,2026-04-01 22:09:08
362,tcgcsv,454556,3188,68,Okiku,Okiku,,,OP01,OP01-035,R,0,1,https://www.tcgplayer.com/product/454556/one-piece-card-game-romance-dawn-okiku,,,2026-04-01 22:09:08,2026-04-01 22:09:08
363,tcgcsv,454558,3188,68,Otsuru,Otsuru,,,OP01,OP01-036,C,0,1,https://www.tcgplayer.com/product/454558/one-piece-card-game-romance-dawn-otsuru,,,2026-04-01 22:09:08,2026-04-01 22:09:08
364,tcgcsv,454560,3188,68,Kawamatsu,Kawamatsu,,,OP01,OP01-037,C,0,1,https://www.tcgplayer.com/product/454560/one-piece-card-game-romance-dawn-kawamatsu,,,2026-04-01 22:09:08,2026-04-01 22:09:08
365,tcgcsv,454562,3188,68,Kanjuro,Kanjuro,,,OP01,OP01-038,C,0,1,https://www.tcgplayer.com/product/454562/one-piece-card-game-romance-dawn-kanjuro,,,2026-04-01 22:09:08,2026-04-01 22:09:08
366,tcgcsv,454563,3188,68,Killer,Killer,,,OP01,OP01-039,UC,0,1,https://www.tcgplayer.com/product/454563/one-piece-card-game-romance-dawn-killer,,,2026-04-01 22:09:08,2026-04-01 22:09:08
367,tcgcsv,454564,3188,68,Kin'emon (Parallel),Kinemon Parallel,Parallel,,OP01,OP01-040,SR,0,1,https://www.tcgplayer.com/product/454564/one-piece-card-game-romance-dawn-kinemon-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
368,tcgcsv,454565,3188,68,Kouzuki Momonosuke,Kouzuki Momonosuke,,,OP01,OP01-041,R,0,1,https://www.tcgplayer.com/product/454565/one-piece-card-game-romance-dawn-kouzuki-momonosuke,,,2026-04-01 22:09:08,2026-04-01 22:09:08
369,tcgcsv,454566,3188,68,Komurasaki,Komurasaki,,,OP01,OP01-042,UC,0,1,https://www.tcgplayer.com/product/454566/one-piece-card-game-romance-dawn-komurasaki,,,2026-04-01 22:09:08,2026-04-01 22:09:08
370,tcgcsv,454567,3188,68,Shinobu,Shinobu,,,OP01,OP01-043,C,0,1,https://www.tcgplayer.com/product/454567/one-piece-card-game-romance-dawn-shinobu,,,2026-04-01 22:09:08,2026-04-01 22:09:08
371,tcgcsv,454568,3188,68,Shachi,Shachi,,,OP01,OP01-044,C,0,1,https://www.tcgplayer.com/product/454568/one-piece-card-game-romance-dawn-shachi,,,2026-04-01 22:09:08,2026-04-01 22:09:08
372,tcgcsv,454569,3188,68,Jean Bart,Jean Bart,,,OP01,OP01-045,C,0,1,https://www.tcgplayer.com/product/454569/one-piece-card-game-romance-dawn-jean-bart,,,2026-04-01 22:09:08,2026-04-01 22:09:08
373,tcgcsv,454570,3188,68,Denjiro,Denjiro,,,OP01,OP01-046,R,0,1,https://www.tcgplayer.com/product/454570/one-piece-card-game-romance-dawn-denjiro,,,2026-04-01 22:09:08,2026-04-01 22:09:08
374,tcgcsv,454571,3188,68,Trafalgar Law (047),Trafalgar Law 047,,,OP01,OP01-047,SR,0,1,https://www.tcgplayer.com/product/454571/one-piece-card-game-romance-dawn-trafalgar-law-047,,,2026-04-01 22:09:08,2026-04-01 22:09:08
375,tcgcsv,454572,3188,68,Nekomamushi,Nekomamushi,,,OP01,OP01-048,C,0,1,https://www.tcgplayer.com/product/454572/one-piece-card-game-romance-dawn-nekomamushi,,,2026-04-01 22:09:08,2026-04-01 22:09:08
376,tcgcsv,454573,3188,68,Bepo,Bepo,,,OP01,OP01-049,R,0,1,https://www.tcgplayer.com/product/454573/one-piece-card-game-romance-dawn-bepo,,,2026-04-01 22:09:08,2026-04-01 22:09:08
377,tcgcsv,454574,3188,68,Penguin,Penguin,,,OP01,OP01-050,C,0,1,https://www.tcgplayer.com/product/454574/one-piece-card-game-romance-dawn-penguin,,,2026-04-01 22:09:08,2026-04-01 22:09:08
378,tcgcsv,454575,3188,68,"Eustass""Captain""Kid",EustassCaptainKid,,,OP01,OP01-051,SR,0,1,https://www.tcgplayer.com/product/454575/one-piece-card-game-romance-dawn-eustasscaptainkid,,,2026-04-01 22:09:08,2026-04-01 22:09:08
379,tcgcsv,454576,3188,68,"Eustass""Captain""Kid (Parallel)",EustassCaptainKid Parallel,Parallel,,OP01,OP01-051,SR,0,1,https://www.tcgplayer.com/product/454576/one-piece-card-game-romance-dawn-eustasscaptainkid-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
380,tcgcsv,454577,3188,68,Raizo,Raizo,,,OP01,OP01-052,UC,0,1,https://www.tcgplayer.com/product/454577/one-piece-card-game-romance-dawn-raizo,,,2026-04-01 22:09:08,2026-04-01 22:09:08
381,tcgcsv,454578,3188,68,Wire,Wire,,,OP01,OP01-053,C,0,1,https://www.tcgplayer.com/product/454578/one-piece-card-game-romance-dawn-wire,,,2026-04-01 22:09:08,2026-04-01 22:09:08
382,tcgcsv,454579,3188,68,X.Drake (054),XDrake 054,,,OP01,OP01-054,R,0,1,https://www.tcgplayer.com/product/454579/one-piece-card-game-romance-dawn-xdrake-054,,,2026-04-01 22:09:08,2026-04-01 22:09:08
383,tcgcsv,454580,3188,68,You Can Be My Samurai!!,You Can Be My Samurai,,,OP01,OP01-055,C,0,1,https://www.tcgplayer.com/product/454580/one-piece-card-game-romance-dawn-you-can-be-my-samurai,,,2026-04-01 22:09:08,2026-04-01 22:09:08
384,tcgcsv,454581,3188,68,Demon Face,Demon Face,,,OP01,OP01-056,UC,0,1,https://www.tcgplayer.com/product/454581/one-piece-card-game-romance-dawn-demon-face,,,2026-04-01 22:09:08,2026-04-01 22:09:08
385,tcgcsv,454582,3188,68,Paradise Waterfall,Paradise Waterfall,,,OP01,OP01-057,UC,0,1,https://www.tcgplayer.com/product/454582/one-piece-card-game-romance-dawn-paradise-waterfall,,,2026-04-01 22:09:08,2026-04-01 22:09:08
386,tcgcsv,454583,3188,68,Punk Gibson,Punk Gibson,,,OP01,OP01-058,R,0,1,https://www.tcgplayer.com/product/454583/one-piece-card-game-romance-dawn-punk-gibson,,,2026-04-01 22:09:08,2026-04-01 22:09:08
387,tcgcsv,454584,3188,68,BE-BENG!!,BE BENG,,,OP01,OP01-059,C,0,1,https://www.tcgplayer.com/product/454584/one-piece-card-game-romance-dawn-be-beng,,,2026-04-01 22:09:08,2026-04-01 22:09:08
388,tcgcsv,454585,3188,68,Donquixote Doflamingo (060),Donquixote Doflamingo 060,,,OP01,OP01-060,L,0,1,https://www.tcgplayer.com/product/454585/one-piece-card-game-romance-dawn-donquixote-doflamingo-060,,,2026-04-01 22:09:08,2026-04-01 22:09:08
389,tcgcsv,454586,3188,68,Donquixote Doflamingo (060) (Parallel),Donquixote Doflamingo 060 Parallel,Parallel,,OP01,OP01-060,L,0,1,https://www.tcgplayer.com/product/454586/one-piece-card-game-romance-dawn-donquixote-doflamingo-060-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
390,tcgcsv,454587,3188,68,Kaido (061) (Parallel),Kaido 061 Parallel,Parallel,,OP01,OP01-061,L,0,1,https://www.tcgplayer.com/product/454587/one-piece-card-game-romance-dawn-kaido-061-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
391,tcgcsv,454588,3188,68,Crocodile (062),Crocodile 062,,,OP01,OP01-062,L,0,1,https://www.tcgplayer.com/product/454588/one-piece-card-game-romance-dawn-crocodile-062,,,2026-04-01 22:09:08,2026-04-01 22:09:08
392,tcgcsv,454589,3188,68,Crocodile (062) (Parallel),Crocodile 062 Parallel,Parallel,,OP01,OP01-062,L,0,1,https://www.tcgplayer.com/product/454589/one-piece-card-game-romance-dawn-crocodile-062-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
393,tcgcsv,454590,3188,68,Arlong,Arlong,,,OP01,OP01-063,UC,0,1,https://www.tcgplayer.com/product/454590/one-piece-card-game-romance-dawn-arlong,,,2026-04-01 22:09:08,2026-04-01 22:09:08
394,tcgcsv,454591,3188,68,Alvida,Alvida,,,OP01,OP01-064,C,0,1,https://www.tcgplayer.com/product/454591/one-piece-card-game-romance-dawn-alvida,,,2026-04-01 22:09:08,2026-04-01 22:09:08
395,tcgcsv,454592,3188,68,Vergo,Vergo,,,OP01,OP01-065,C,0,1,https://www.tcgplayer.com/product/454592/one-piece-card-game-romance-dawn-vergo,,,2026-04-01 22:09:08,2026-04-01 22:09:08
396,tcgcsv,454593,3188,68,Krieg,Krieg,,,OP01,OP01-066,C,0,1,https://www.tcgplayer.com/product/454593/one-piece-card-game-romance-dawn-krieg,,,2026-04-01 22:09:08,2026-04-01 22:09:08
397,tcgcsv,454594,3188,68,Crocodile (067) (Parallel),Crocodile 067 Parallel,Parallel,,OP01,OP01-067,SR,0,1,https://www.tcgplayer.com/product/454594/one-piece-card-game-romance-dawn-crocodile-067-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
398,tcgcsv,454596,3188,68,Gecko Moria,Gecko Moria,,,OP01,OP01-068,R,0,1,https://www.tcgplayer.com/product/454596/one-piece-card-game-romance-dawn-gecko-moria,,,2026-04-01 22:09:08,2026-04-01 22:09:08
399,tcgcsv,454597,3188,68,Caesar Clown,Caesar Clown,,,OP01,OP01-069,R,0,1,https://www.tcgplayer.com/product/454597/one-piece-card-game-romance-dawn-caesar-clown,,,2026-04-01 22:09:08,2026-04-01 22:09:08
400,tcgcsv,454598,3188,68,Dracule Mihawk,Dracule Mihawk,,,OP01,OP01-070,SR,0,1,https://www.tcgplayer.com/product/454598/one-piece-card-game-romance-dawn-dracule-mihawk,,,2026-04-01 22:09:08,2026-04-01 22:09:08
401,tcgcsv,454599,3188,68,Dracule Mihawk (Parallel),Dracule Mihawk Parallel,Parallel,,OP01,OP01-070,SR,0,1,https://www.tcgplayer.com/product/454599/one-piece-card-game-romance-dawn-dracule-mihawk-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
402,tcgcsv,454600,3188,68,Jinbe (071),Jinbe 071,,,OP01,OP01-071,R,0,1,https://www.tcgplayer.com/product/454600/one-piece-card-game-romance-dawn-jinbe-071,,,2026-04-01 22:09:08,2026-04-01 22:09:08
403,tcgcsv,454601,3188,68,Smiley,Smiley,,,OP01,OP01-072,C,0,1,https://www.tcgplayer.com/product/454601/one-piece-card-game-romance-dawn-smiley,,,2026-04-01 22:09:08,2026-04-01 22:09:08
404,tcgcsv,454602,3188,68,Donquixote Doflamingo (073),Donquixote Doflamingo 073,,,OP01,OP01-073,R,0,1,https://www.tcgplayer.com/product/454602/one-piece-card-game-romance-dawn-donquixote-doflamingo-073,,,2026-04-01 22:09:08,2026-04-01 22:09:08
405,tcgcsv,454603,3188,68,Donquixote Doflamingo (073) (Parallel),Donquixote Doflamingo 073 Parallel,Parallel,,OP01,OP01-073,R,0,1,https://www.tcgplayer.com/product/454603/one-piece-card-game-romance-dawn-donquixote-doflamingo-073-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
406,tcgcsv,454604,3188,68,Bartholomew Kuma,Bartholomew Kuma,,,OP01,OP01-074,R,0,1,https://www.tcgplayer.com/product/454604/one-piece-card-game-romance-dawn-bartholomew-kuma,,,2026-04-01 22:09:08,2026-04-01 22:09:08
