card_id,role,role_confidence,evidence,classification_source,status,created_at,updated_at
EB02-053,life_manipulation,high,Life card(s) move/add/remove pattern,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-054,blocker,high,block_icon set; Blocker-type card,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-054,removal,high,K.O./return/trash pattern targeting opponent context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-054,life_manipulation,medium,Life card text with manipulation context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-054,hand_control,high,trash from opponent hand context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-055,life_manipulation,medium,Life card text with manipulation context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-056,blocker,high,block_icon set; Blocker-type card,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-056,removal,high,K.O./return/trash pattern targeting opponent context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-056,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-056,hand_control,high,trash from opponent hand context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-057,searcher,high,deck/top access pattern (look at the top / add up to),text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-057,stabilizer,medium,add to Life / Life cards (defensive stabilization),text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-057,life_manipulation,high,Life card(s) move/add/remove pattern,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-058,searcher,medium,effect_text contains reveal with add/play/hand/field context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-059,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-059,life_manipulation,medium,Life card text with manipulation context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-060,stabilizer,medium,references your Life cards defensively,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-060,life_manipulation,medium,Life card text with manipulation context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-061,removal,high,K.O./return/trash pattern targeting opponent context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-061,finisher,medium,effect_text contains Rush and cost >= 6 (cost=6),text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-061,stabilizer,medium,add to Life / Life cards (defensive stabilization),text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-061,tempo_piece,high,active DON!! / set DON!! as active,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-061,life_manipulation,high,Life card(s) move/add/remove pattern,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-061,don_acceleration,high,DON!! deck adds DON!!,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-061,don_reduction,medium,return DON!! to DON!! deck,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB03-001,removal,high,K.O./return/trash pattern targeting opponent context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB03-001,hand_control,high,trash from opponent hand context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB03-003,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB03-004,blocker,high,block_icon set; Blocker-type card,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB03-005,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB03-006,value_engine,high,draw effect with repeatable/when/at trigger,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB03-007,blocker,high,block_icon set; Blocker-type card,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB03-007,removal,medium,K.O. on character (opponent implied),text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB03-007,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB03-010,blocker,high,block_icon set; Blocker-type card,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB03-010,searcher,medium,effect_text contains reveal with add/play/hand/field context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
