card_code,printing_id,variant_key,current_local_path,candidate_paths_checked,matched_path,file_exists,reconciliation_type
OP01-031,861,base,OP01/base/thumbs/OP01-031.webp,OP01\base\OP01-031.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-031.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-031.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-031.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-031.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-031.png,YES,THUMBS_TO_BASE_FIX
OP01-032,865,base,OP01/base/thumbs/OP01-032.webp,OP01\base\OP01-032.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-032.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-032.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-032.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-032.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-032.png,YES,THUMBS_TO_BASE_FIX
OP01-033,867,base,OP01/base/thumbs/OP01-033.webp,OP01\base\OP01-033.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-033.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-033.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-033.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-033.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-033.png,YES,THUMBS_TO_BASE_FIX
OP01-034,878,base,OP01/base/thumbs/OP01-034.webp,OP01\base\OP01-034.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-034.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-034.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-034.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-034.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-034.png,YES,THUMBS_TO_BASE_FIX
OP01-035,882,base,OP01/base/thumbs/OP01-035.webp,OP01\base\OP01-035.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-035.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-035.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-035.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-035.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-035.png,YES,THUMBS_TO_BASE_FIX
OP01-036,890,base,OP01/base/thumbs/OP01-036.webp,OP01\base\OP01-036.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-036.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-036.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-036.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-036.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-036.png,YES,THUMBS_TO_BASE_FIX
OP01-037,892,base,OP01/base/thumbs/OP01-037.webp,OP01\base\OP01-037.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-037.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-037.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-037.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-037.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-037.png,YES,THUMBS_TO_BASE_FIX
OP01-038,894,base,OP01/base/thumbs/OP01-038.webp,OP01\base\OP01-038.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-038.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-038.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-038.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-038.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-038.png,YES,THUMBS_TO_BASE_FIX
OP01-039,896,base,OP01/base/thumbs/OP01-039.webp,OP01\base\OP01-039.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-039.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-039.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-039.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-039.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-039.png,YES,THUMBS_TO_BASE_FIX
OP01-040,901,base,OP01/base/thumbs/OP01-040.webp,OP01\base\OP01-040.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-040.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-040.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-040.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-040.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-040.png,YES,THUMBS_TO_BASE_FIX
OP01-041,905,base,OP01/base/thumbs/OP01-041.webp,OP01\base\OP01-041.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-041.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-041.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-041.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-041.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-041.png,YES,THUMBS_TO_BASE_FIX
OP01-042,915,base,OP01/base/thumbs/OP01-042.webp,OP01\base\OP01-042.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-042.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-042.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-042.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-042.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-042.png,YES,THUMBS_TO_BASE_FIX
OP01-043,917,base,OP01/base/thumbs/OP01-043.webp,OP01\base\OP01-043.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-043.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-043.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-043.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-043.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-043.png,YES,THUMBS_TO_BASE_FIX
OP01-044,919,base,OP01/base/thumbs/OP01-044.webp,OP01\base\OP01-044.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-044.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-044.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-044.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-044.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-044.png,YES,THUMBS_TO_BASE_FIX
OP01-045,921,base,OP01/base/thumbs/OP01-045.webp,OP01\base\OP01-045.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-045.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-045.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-045.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-045.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-045.png,YES,THUMBS_TO_BASE_FIX
OP01-046,923,base,OP01/base/thumbs/OP01-046.webp,OP01\base\OP01-046.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-046.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-046.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-046.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-046.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-046.png,YES,THUMBS_TO_BASE_FIX
OP01-047,925,base,OP01/base/thumbs/OP01-047.webp,OP01\base\OP01-047.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-047.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-047.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-047.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-047.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-047.png,YES,THUMBS_TO_BASE_FIX
OP01-048,934,base,OP01/base/thumbs/OP01-048.webp,OP01\base\OP01-048.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-048.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-048.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-048.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-048.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-048.png,YES,THUMBS_TO_BASE_FIX
OP01-049,938,base,OP01/base/thumbs/OP01-049.webp,OP01\base\OP01-049.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-049.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-049.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-049.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-049.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-049.png,YES,THUMBS_TO_BASE_FIX
