card_id,card_image_id,set_name,set_id,card_name,rarity,inferred_treatment,inferred_treatment_confidence,card_image_url,local_canonical_code_match,local_variant_match_id,local_image_asset_exists,gap_status,raw_json_path
OP01-035,OP01-035_p2,500 Years in the Future,OP-07,Okiku (SP),R,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-035_p2.jpg,yes,887,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-035.json
OP01-036,OP01-036,Romance Dawn,OP-01,Otsuru,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-036.jpg,yes,890,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-036.json
OP01-037,OP01-037,Romance Dawn,OP-01,Kawamatsu,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-037.jpg,yes,892,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-037.json
OP01-038,OP01-038,Romance Dawn,OP-01,Kanjuro,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-038.jpg,yes,894,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-038.json
OP01-039,OP01-039,Romance Dawn,OP-01,Killer,UC,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-039.jpg,yes,896,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-039.json
OP01-039,OP01-039_p1,Premium Booster -The Best- Vol. 2,PRB-02,Killer (Pirate Foil),UC,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-039_p1.jpg,yes,899,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-039.json
OP01-039,OP01-039_r1,Premium Booster -The Best- Vol. 2,PRB-02,Killer (Reprint),UC,reprint,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-039_r1.jpg,yes,900,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-039.json
OP01-040,OP01-040,Romance Dawn,OP-01,Kin'emon,SR,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-040.jpg,yes,901,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-040.json
OP01-040,OP01-040_p1,Romance Dawn,OP-01,Kin'emon (Parallel),SR,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-040_p1.jpg,yes,904,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-040.json
OP01-041,OP01-041,Romance Dawn,OP-01,Kouzuki Momonosuke,R,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-041.jpg,yes,905,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-041.json
OP01-041,OP01-041_p7,Premium Booster -The Best-,PRB-01,Kouzuki Momonosuke (Jolly Roger Foil),R,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-041_p7.jpg,yes,908,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-041.json
OP01-041,OP01-041_p5,Premium Booster -The Best-,PRB-01,Kouzuki Momonosuke (Alternate Art),R,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-041_p5_BTppBsS.jpg,yes,911,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-041.json
OP01-041,OP01-041_p5,Premium Booster -The Best-,PRB-01,Kouzuki Momonosuke (Full Art),R,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-041_p5.jpg,yes,911,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-041.json
OP01-041,OP01-041_r1,Premium Booster -The Best-,PRB-01,Kouzuki Momonosuke,R,reprint,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-041_r1.png,yes,913,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-041.json
OP01-042,OP01-042,Romance Dawn,OP-01,Komurasaki,UC,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-042.jpg,yes,915,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-042.json
OP01-043,OP01-043,Romance Dawn,OP-01,Shinobu,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-043.jpg,yes,917,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-043.json
OP01-044,OP01-044,Romance Dawn,OP-01,Shachi,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-044.jpg,yes,919,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-044.json
OP01-045,OP01-045,Romance Dawn,OP-01,Jean Bart,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-045.jpg,yes,921,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-045.json
OP01-046,OP01-046,Romance Dawn,OP-01,Denjiro,R,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-046.jpg,yes,923,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-046.json
OP01-047,OP01-047,Romance Dawn,OP-01,Trafalgar Law (047),SR,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-047.jpg,yes,925,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-047.json
