cv_id,canonical_code,card_name,variant_family,source,tcgplayer_product_id,total_local_mp_rows_found,strong_signal_mp_ids,strong_signal_mp_names,weak_signal_mp_ids,weak_signal_mp_names,local_catalog_classification,next_lane_tag,notes
7466,ST13-018,Gum-Gum Jet Spear,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7635,ST21-001,Monkey.D.Luffy,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7642,ST21-002,Usopp,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7651,ST21-004,Jewelry Bonney,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7655,ST21-005,Jinbe,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7658,ST21-006,Stussy,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7661,ST21-007,Sentomaru,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7665,ST21-008,Tony Tony.Chopper,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7670,ST21-009,Nami,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7673,ST21-010,Nico Robin,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7676,ST21-011,Franky,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7679,ST21-012,Brook,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7682,ST21-013,Vegapunk,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7691,ST21-015,Roronoa Zoro,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7699,ST21-016,Gum-Gum Dawn Whip,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
