id,printing_id,market_product_id,mapping_confidence,mapping_method,is_preferred
869,1088,1247,HIGH,exact_code_plus_base_flag,1
4723,1088,429,HIGH,exact_code_plus_base_flag,1
4726,1095,432,HIGH,exact_code_plus_base_flag,1
4728,1099,434,HIGH,exact_code_plus_base_flag,1
513,1106,846,HIGH,exact_code_plus_base_flag,1
557,1108,895,HIGH,exact_code_plus_base_flag,1
668,1108,1016,HIGH,exact_code_plus_base_flag,1
712,1108,1063,HIGH,exact_code_plus_base_flag,1
4734,1112,440,HIGH,exact_code_plus_base_flag,1
526,1126,860,HIGH,exact_code_plus_base_flag,1
4620,1129,326,HIGH,exact_code_plus_base_flag,1
697,1141,1048,HIGH,exact_code_plus_base_flag,1
698,1141,1049,HIGH,exact_code_plus_base_flag,1
699,1141,1050,HIGH,exact_code_plus_base_flag,1
999,1141,1396,HIGH,exact_code_plus_base_flag,1
590,1154,928,HIGH,exact_code_plus_base_flag,1
2673,1154,3268,HIGH,exact_code_plus_base_flag,1
2744,1154,3363,HIGH,exact_code_plus_base_flag,1
2885,1154,3537,HIGH,exact_code_plus_base_flag,1
4752,1154,458,HIGH,exact_code_plus_base_flag,1
4753,1154,459,HIGH,exact_code_plus_base_flag,1
857,1165,1234,HIGH,exact_code_plus_base_flag,1
1871,1165,2388,HIGH,exact_code_plus_base_flag,1
2723,1165,3335,HIGH,exact_code_plus_base_flag,1
2923,1165,3575,HIGH,exact_code_plus_base_flag,1
4755,1165,461,HIGH,exact_code_plus_base_flag,1
192,1174,483,HIGH,exact_code_plus_base_flag,1
836,1174,1205,HIGH,exact_code_plus_base_flag,1
2583,1174,3156,HIGH,exact_code_plus_base_flag,1
193,1181,484,HIGH,exact_code_plus_base_flag,1
223,1187,514,HIGH,exact_code_plus_base_flag,1
588,1187,926,HIGH,exact_code_plus_base_flag,1
1750,1187,2258,HIGH,exact_code_plus_base_flag,1
2663,1187,3256,HIGH,exact_code_plus_base_flag,1
2886,1187,3538,HIGH,exact_code_plus_base_flag,1
824,1197,1193,HIGH,exact_code_plus_base_flag,1
4033,1197,4808,HIGH,exact_code_plus_base_flag,1
4034,1197,4809,HIGH,exact_code_plus_base_flag,1
522,1207,856,HIGH,exact_code_plus_base_flag,1
569,1207,907,HIGH,exact_code_plus_base_flag,1
587,1207,925,HIGH,exact_code_plus_base_flag,1
2584,1207,3157,HIGH,exact_code_plus_base_flag,1
