card_code,printing_id,variant_key,is_base,is_sp,is_tr,is_alt,is_manga_rare,is_golden_manga_rare,is_illustration_rare,is_promo,expected_path,discovery_status
OP01-017,799,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-017_alt.png,FETCH_NEEDED
OP01-017,800,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-017_alt.png,FETCH_NEEDED
OP01-017,803,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-017_p1.png,FETCH_NEEDED
OP01-017,804,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-017_p2.png,FETCH_NEEDED
OP01-017,798,promo,0,0,0,1,0,0,0,0,OP01/alt/OP01-017_alt.png,FETCH_NEEDED
OP01-017,801,promo,0,0,0,0,0,0,0,1,P/base/OP01-017.png,FETCH_NEEDED
OP01-017,802,promo,0,0,0,0,0,0,0,1,P/base/OP01-017.png,FETCH_NEEDED
OP01-021,813,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-021_alt.png,FETCH_NEEDED
OP01-021,814,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-021_alt.png,FETCH_NEEDED
OP01-021,817,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-021_alt.png,FETCH_NEEDED
OP01-021,818,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-021_p1.png,FETCH_NEEDED
OP01-021,819,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-021_p2.png,FETCH_NEEDED
OP01-021,820,parallel_3,0,0,0,0,0,0,0,0,OP01/parallel/OP01-021_p3.png,FETCH_NEEDED
OP01-021,815,promo,0,0,0,0,0,0,0,1,P/base/OP01-021.png,FETCH_NEEDED
OP01-021,816,promo,0,0,0,0,0,0,0,1,P/base/OP01-021.png,FETCH_NEEDED
OP01-022,824,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-022_p1.png,FETCH_NEEDED
OP01-022,823,promo,0,0,0,0,0,0,0,1,P/base/OP01-022.png,FETCH_NEEDED
OP01-024,829,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-024_alt.png,FETCH_NEEDED
OP01-024,832,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-024_alt.png,FETCH_NEEDED
OP01-024,831,parallel_3,0,0,0,0,0,0,0,0,OP01/parallel/OP01-024_p3.png,FETCH_NEEDED
OP01-024,833,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-024.png,DISK_MATCH_FOUND
OP01-025,837,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-025_alt.png,FETCH_NEEDED
OP01-025,838,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-025_alt.png,FETCH_NEEDED
OP01-025,839,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-025_alt.png,FETCH_NEEDED
OP01-025,843,alt,0,0,0,1,0,0,0,1,OP01/alt/OP01-025_alt.png,FETCH_NEEDED
OP01-025,841,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-025_p2.png,FETCH_NEEDED
OP01-025,842,parallel_3,0,0,0,0,0,0,0,0,OP01/parallel/OP01-025_p3.png,FETCH_NEEDED
OP01-025,836,promo,0,0,0,1,0,0,0,0,OP01/alt/OP01-025_alt.png,FETCH_NEEDED
OP01-029,852,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-029_alt.png,FETCH_NEEDED
OP01-029,853,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-029_p2.png,FETCH_NEEDED
OP01-029,854,parallel_3,0,0,0,0,0,0,0,0,OP01/parallel/OP01-029_p3.png,FETCH_NEEDED
OP01-029,855,parallel_4,0,0,0,0,0,0,0,0,OP01/parallel/OP01-029_p4.png,FETCH_NEEDED
OP01-029,856,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-029.png,DISK_MATCH_FOUND
OP01-030,860,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-030_p1.png,FETCH_NEEDED
OP01-030,859,promo,0,0,0,1,0,0,0,0,OP01/alt/OP01-030_alt.png,FETCH_NEEDED
OP01-031,863,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-031_alt.png,FETCH_NEEDED
OP01-033,869,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-033_alt.png,FETCH_NEEDED
OP01-033,870,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-033_alt.png,FETCH_NEEDED
OP01-033,876,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-033_alt.png,FETCH_NEEDED
OP01-033,871,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-033_p1.png,FETCH_NEEDED
OP01-033,872,parallel_3,0,0,0,0,0,0,0,0,OP01/parallel/OP01-033_p3.png,FETCH_NEEDED
OP01-033,873,parallel_4,0,0,0,0,0,0,0,0,OP01/parallel/OP01-033_p4.png,FETCH_NEEDED
OP01-033,874,parallel_5,0,0,0,0,0,0,0,0,OP01/parallel/OP01-033_p5.png,FETCH_NEEDED
