card_code,printing_id,variant_key,mapped_product_id,market_price,mid_price,low_price,image_path,mapping_confidence,release_set_code,certification_status,failure_reason
OP01-051,947,parallel_4,,,,,PRB01/parallel/OP01-051_p4.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-051,950,promo,,,,,P/base/OP01-051.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-051,949,r1,378,1.27,1.99,0.95,OP01/base/OP01-051.png,reprint_share,PRB01,CERTIFIED,
OP01-052,953,alt,,,,,thumbs/OP01-052(alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-052,954,alt,,,,,thumbs/OP01-052alt2.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-052,958,alt,,,,,thumbs/OP01-052(PRB01alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-052,951,base,380,0.1,0.2,0.02,OP01/base/OP01-052.png,HIGH,OP01,CERTIFIED,
OP01-052,955,parallel_1,,,,,EP02/parallel/OP01-052_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-052,956,parallel_3,,,,,PRB01/parallel/OP01-052_p3.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-052,957,parallel_4,,,,,PRB01/parallel/OP01-052_p4.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-052,959,r1,380,0.1,0.2,0.02,OP01/base/OP01-052.png,reprint_share,PRB01,CERTIFIED,
OP01-053,960,base,381,0.07,0.15,0.01,OP01/base/OP01-053.png,HIGH,OP01,CERTIFIED,
OP01-054,962,base,382,0.37,0.4,0.19,OP01/base/OP01-054.png,HIGH,OP01,CERTIFIED,
OP01-055,964,base,383,0.17,0.25,0.02,OP01/base/OP01-055.png,HIGH,OP01,CERTIFIED,
OP01-055,966,parallel_1,,,,,PRB02/parallel/OP01-055_p1.png,,PRB02,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-055,967,r1,383,0.17,0.25,0.02,OP01/base/OP01-055.png,reprint_share,PRB02,CERTIFIED,
OP01-056,968,base,384,0.15,0.19,0.01,OP01/base/OP01-056.png,HIGH,OP01,CERTIFIED,
OP01-057,972,alt,,,,,thumbs/OP01-057alt.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-057,970,base,385,1.54,1.99,1.0,OP01/base/OP01-057.png,HIGH,OP01,CERTIFIED,
